id	name	location	time created	tweet url	source	retweet count	likes	tweet	compound	Sentiment
3010039747	Pius Timothy		2022-08-16 07:06:05+00:00	https://twitter.com/piusilamebe/status/1559436317431406595	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
632213198	okarotor onome 😍😍😍😍😍	Lagos Nigeria	2022-08-16 07:06:03+00:00	https://twitter.com/officialonoski/status/1559436309072121857	Twitter for Android	4	0	RT Hear say Tinubu	0.0	Neutral
1109214021423636486	BabaDee	Lagos, Nigeria	2022-08-16 07:06:02+00:00	https://twitter.com/AdikaDaniel1/status/1559436305326653440	Twitter for Android	1821	0	RT This Tony Kababa A Notorious Cultist thug Killer Tinubu recruited Campaign endorsed All Progressives Congress presidential campa	-0.7351	Negative
988639538850533377	Sorgia Bill	Port Harcourt, Rivers State	2022-08-16 07:05:55+00:00	https://twitter.com/SorgiaBill/status/1559436275056345090	Twitter for Android	5633	0	RT You guy remember Kabaka notorious criminal cultist BBC documentary Cult group Nigeria r	-0.743	Negative
1113267755623616515	Awesomekay	Lagos, Nigeria	2022-08-16 07:05:55+00:00	https://twitter.com/Awesomekay1/status/1559436274011873280	Twitter for Android	187	0	RT Seduce husband sexy wear stop tying All Progressives Congress wrapper around house Tinubu face What problem	-0.128	Negative
796824434615218176	Irregular_chyna	portharcourt	2022-08-16 07:05:54+00:00	https://twitter.com/heis_chyna/status/1559436272653008896	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
1540693502257876995	Obi4President		2022-08-16 07:05:54+00:00	https://twitter.com/P_O4president/status/1559436272149594112	Twitter for Android	2426	0	RT This Is Mulikat Akande She supposed become speaker She lost bcs Tinubu worked support	0.1027	Positive
189961776	Kay Ebony	London	2022-08-16 07:05:54+00:00	https://twitter.com/KAYEBONYLONDON/status/1559436270593626112	Twitter for iPhone	56	0	RT Peter Obi everywhere grace God surviving Tinubu supporter Dele Momodu Kuda	0.802	Positive
1452344219444592653	Iola		2022-08-16 07:05:52+00:00	https://twitter.com/YusufBe18042764/status/1559436264176230402	Twitter Web App	140	0	RT Na Tinubu go sign National Budget By God Grace	0.5994	Positive
1681754821	OJAY THIS OJAY THAT	+234 Abiriba	2022-08-16 07:05:52+00:00	https://twitter.com/ojaychidican/status/1559436263974903808	Twitter for iPhone	5633	0	RT You guy remember Kabaka notorious criminal cultist BBC documentary Cult group Nigeria r	-0.743	Negative
